Iteration, Training_error_rate, Test_error_rate
Before_training, 0.31031264582361173, 0.3742079242392591
0, 0.28075906050707733, 0.32379360768748694
1, 0.26722662933582203, 0.2929461736647866
2, 0.25727173743972626, 0.2765127776617227
3, 0.25198320111992534, 0.26418773065942486
4, 0.2485612070306424, 0.2555532344544252
5, 0.24576139368486546, 0.2517234175893044
6, 0.24296158033908852, 0.24677947218160295
7, 0.23985067662155857, 0.24288002228257086
8, 0.2384507699486701, 0.24065176519740966
9, 0.2368953180899051, 0.23821460901051458
10, 0.23580650178876963, 0.23793607687486945
11, 0.23362886918649867, 0.23654341619664368
12, 0.23269559807123968, 0.23501148945059536
13, 0.23145123658422773, 0.23438479214539376
14, 0.23114014621247472, 0.23410626000974863
15, 0.23191787214185722, 0.2336188287723696
16, 0.23098460102659824, 0.23299213146716802
17, 0.23114014621247472, 0.23299213146716802
18, 0.23114014621247472, 0.23229580112805515
19, 0.23067351065484523, 0.23187800292458743
20, 0.22942914916783325, 0.2320869020263213
21, 0.23036242028309223, 0.23166910382285355
22, 0.23020687509721574, 0.23097277348374068
23, 0.23005132991133925, 0.23013717707680523
24, 0.2312956913983512, 0.22944084673769236
Before_training, 0.4646134702130969, 0.32435067195877726
0, 0.40752838699642246, 0.29475663254648005
1, 0.37719707575050554, 0.2786714017129726
2, 0.3616425571628558, 0.26467516189680385
3, 0.3505988489656245, 0.2545087389457559
4, 0.3400217763260227, 0.2448297472320869
5, 0.3297557940581739, 0.2381449759766033
6, 0.32275626069373153, 0.2342455260775712
7, 0.31731217918805416, 0.22951047977160366
8, 0.3086016487789703, 0.22616809414386185
9, 0.30689065173432883, 0.2253324977369264
10, 0.3022242961580339, 0.2257502959403941
11, 0.2983356665111215, 0.2247058004317248
12, 0.2983356665111215, 0.22491469953345866
13, 0.296313579094727, 0.22512359863519255
14, 0.29506921760771504, 0.2242880022282571
15, 0.2922694042619381, 0.22442726829607967
16, 0.29055840721729664, 0.22512359863519255
17, 0.28962513610203766, 0.22519323166910382
18, 0.28791413905739616, 0.2252628647030151
19, 0.2862031420127547, 0.22491469953345866
20, 0.2855809612692487, 0.22540213077083768
21, 0.2851143257116192, 0.22547176380474898
22, 0.28449214496811326, 0.225959195042128
23, 0.2835588738528543, 0.22561102987257156
24, 0.2820034219940893, 0.2257502959403941
Before_training, 0.3846632446725774, 0.5830373929392103
0, 0.3299113392440504, 0.5332497736926398
1, 0.3067351065484523, 0.4932107791936495
2, 0.29258049463369107, 0.4622937121370378
3, 0.2806035153212008, 0.43687765475941787
4, 0.2750038886296469, 0.4177285704338138
5, 0.270337533053352, 0.4035930645498224
6, 0.26582672266293356, 0.3938444398022422
7, 0.2605381863431327, 0.3846528793259522
8, 0.2583605537408617, 0.37796810807046866
9, 0.2563384663244673, 0.37337232783232366
10, 0.2541608337221963, 0.3707262725436947
11, 0.2529164722351843, 0.3667571896107513
12, 0.24996111370353088, 0.3634148039830095
13, 0.2485612070306424, 0.3609080147622032
14, 0.2474723907295069, 0.3581226934057517
15, 0.24685020998600093, 0.3558944363205905
16, 0.24607248405661844, 0.3547106747440986
17, 0.24560584849898895, 0.3537358122693406
18, 0.24482812256960648, 0.3519253533876471
19, 0.2438948514543475, 0.35088085787897777
20, 0.24373930626847098, 0.349488197200752
21, 0.2435837610825945, 0.3487222338277279
22, 0.244050396640224, 0.348025903488615
23, 0.24296158033908852, 0.34712067404776825
24, 0.24373930626847098, 0.34628507764083283
Before_training, 0.5759838233006689, 0.35443214260845346
0, 0.5486078705864054, 0.33486526007938167
1, 0.5204541919427593, 0.3134182856347051
2, 0.48903406439570696, 0.2954529628855929
3, 0.4538808523876186, 0.2804818605946661
4, 0.42448281225696066, 0.2702458046097068
5, 0.40332866697775704, 0.26126314323515076
6, 0.3820189765126769, 0.2525590139962398
7, 0.3641312801368798, 0.24552607757119976
8, 0.3496655778503655, 0.24134809553652253
9, 0.33659978223673975, 0.23563818675579695
10, 0.326644890340644, 0.23166910382285355
11, 0.3190231762326956, 0.22770002088991018
12, 0.3137346399128947, 0.22400947009261193
